imie;nazwisko;pesel;ulica;nr_domu;miasto;kraj
Robert;Michalczyk;44091671236;Ulica Lecha;7;Brodnica;Serbia
Krzysztof;Polak;57082041994;Ulica Wspólna;28;Chełm;Irlandia
Igor;Kruk;76112855665;Bulwar Morza Bałtyckiego;14;Kalisz;Urugwaj
Patrycja;Gruszczak;85121887545;Bulwar Przyszłości;15;Kielce;Islandia
Wiktor;Kruk;02042784903;Aleja Polna;28;Kwidzyn;Brazylia
Helena;Sierota;92050715958;Plac Rycerski;39;Lubań;Jamajka
Bogumiła;Miś;05043005074;Aleja Solidarności;5;Piotrków Trybunalski;Andora
Przemysław;Koza;31121898868;Ulica Wspólna;6;Leszno;Gwatemala
Piotr;Lis;41051057937;Bulwar Niepodległości;50;Brodnica;Islandia
Marianna;Kolarz;17101534849;Ulica Krzywa;3;Inowrocław;Turcja
Cezary;Szulc;53080191208;Ulica Sienkiewicza;10;Wągrowiec;Islandia
Jadwiga;Mikłasz;25041225330;Ulica Długa;42;Oświęcim;Turcja
Szymon;Lach;06103135119;Plac Sztuki;50;Myślenice;Grenada
Jerzy;Kopeć;07091539485;Aleja Tysiąclecia;16;Żagań;Grenada
Igor;Zaręba;52100473240;Aleja Wojska Polskiego;11;Pisz;Kuba
Krzysztof;Tomczyszyn;07070310649;Ulica Chrobrego;11;Wejherowo;Peru
Lucyna;Puzio;86120477448;Aleja Armii Krajowej;29;Sopot;Boliwia
Bartłomiej;Myśliwiec;59111393806;Ulica Wiosenna;14;Kwidzyn;Uzbekistan
Dariusz;Dąbek;92081680051;Ulica Powstańców;12;Warszawa;Litwa
Radosław;Czerwiec;74041646365;Ulica Cisowa;49;Chojnice;Pakistan
Jan;Kasprzyk;03091099538;Plac Targowy;48;Olsztyn;Trynidad i Tobago
Grażyna;Mizera;60032122715;Plac Św. Jacka;1;Gliwice;Honduras
Przemysław;Cholewa;08092935670;Ulica Świętokrzyska;44;Bielsko-Biała;Boliwia
Iga;Kołtun;72071543034;Ulica Szeroka;17;Bolesławiec;Afganistan
Zofia;Kubas;76050750620;Aleja Armii Krajowej;45;Żywiec;Estonia
Marianna;Rudek;61122893352;Plac Grunwaldzki;30;Pisz;Szwecja
Kazimierz;Sierota;26110509190;Plac Litewski;37;Bełchatów;Jamajka
Justyna;Lewicki;65081634757;Ulica Kazimierza Wielkiego;50;Polkowice;Tajlandia
Paweł;Kołtun;25081956579;Plac Jana Matejki;16;Kutno;Armenia
Daniel;Strączek;31090111502;Bulwar Słoneczny;31;Olsztyn;Argentyna
Dawid;Puzio;13010641510;Plac Katedralny;6;Września;Ukraina
Joachim;Drozd;87042279857;Aleja Sportowa;30;Kościerzyna;Turcja
Natalia;Urban;59090919562;Plac Katedralny;16;Rzeszów;Malezja
Kazimierz;Sulej;01062746076;Aleja Sportowa;38;Ostrowiec Świętokrzyski;Panama
Halina;Sosna;28011674777;Aleja Ludowa;49;Gniezno;Kanada
Marta;Szulc;06091981236;Bulwar Gdański;7;Szczecin;Andora
Alicja;Grabiec;89112776249;Aleja Polna;23;Polkowice;Dominikana
Kamila;Nawrot;76112872044;Plac Jana Matejki;17;Zgierz;Kosowo
Maria;Chmiel;77111890005;Bulwar Miejski;20;Wrocław;Urugwaj
Małgorzata;Grabiec;62072735749;Bulwar Gdański;17;Skierniewice;Meksyk
Alicja;Szulc;69091520112;Bulwar Gdański;8;Jastrzębie-Zdrój;Chiny
Renata;Motyl;14092926205;Plac Litewski;4;Oświęcim;Gwatemala
Amelia;Musiał;60072979055;Aleja Niezapominajki;25;Żywiec;Holandia
Mateusz;Sierota;45032223848;Plac Ratuszowy;4;Tarnobrzeg;Łotwa
Agnieszka;Cholewa;24092736225;Plac Św. Jadwigi;13;Ruda Śląska;Estonia
Iga;Urban;43081659405;Plac Sztuki;7;Gorzów Wielkopolski;Gruzja
Leszek;Kolarz;87020674099;Ulica Chrobrego;19;Bochnia;Indie
Lucyna;Tomczyszyn;91081591820;Ulica Złota;3;Poznań;Filipiny
Radosław;Tomczyszyn;20031326024;Bulwar Parkowy;7;Włocławek;Holandia
Jacek;Wlazły;47052951643;Plac Szarych Szeregów;3;Nowy Sącz;Peru
Przemysław;Malec;18061729558;Aleja Armii Krajowej;19;Bydgoszcz;Włochy
Maciej;Dębek;75031333093;Ulica Mickiewicza;6;Piła;Niemcy
Edward;Zawisza;04122710261;Bulwar Piastowski;49;Bydgoszcz;Kolumbia
Joachim;Nosek;54022531469;Plac Zamkowy;22;Dąbrowa Górnicza;Serbia
Monika;Małek;11050427188;Plac Ratuszowy;40;Lublin;Indie
Wiktor;Chmiel;86110618989;Ulica Dębowa;31;Rybnik;Włochy
Tomasz;Kołtun;73101056878;Plac Piłsudskiego;36;Wrocław;Wielka Brytania
Magdalena;Stach;39011540384;Aleja Solidarności;29;Poznań;Japonia
Karolina;Stępień;17100194629;Aleja Jerozolimskie;12;Chojnice;Bahamy
Joanna;Miś;19031943444;Plac Wolności;34;Jastrzębie-Zdrój;Estonia
Robert;Urban;58022793774;Plac Wolności;39;Jaworzno;Mołdawia
Nikola;Zawada;48021995212;Aleja Polna;17;Mielec;San Marino
Elżbieta;Węglarz;94052235505;Ulica Wierzbowa;23;Brodnica;Chile
Izabela;Gawron;33102612686;Aleja Polna;46;Przemyśl;Estonia
Hanna;Stępień;06102946467;Ulica Szeroka;15;Jaworzno;Hiszpania
Tomasz;Urban;05050122344;Plac Bohaterów;9;Słupsk;Niemcy
